serial_number,hsc_code,country_origin,make,model,year,engine_cc,description,cif_usd,database_month
2370,8704.22.90,SE,DAF,Truck,2011,8201,"DAF Truck (7.5 Ton) Model LF45.150, 4X2 Traction, 2011",16160.59,"October 2025"
2371,8704.22.90,SE,DAF,Truck,2012,8201,"DAF Truck (7.5 Ton) Model LF45.150, 4X2 Traction, 2012",18261.47,"October 2025"
2372,8704.22.90,SE,DAF,Truck,2013,8201,"DAF Truck (7.5 Ton) Model LF45.150, 4X2 Traction, 2013",20818.07,"October 2025"
2373,8704.22.90,SE,DAF,Truck,2014,8201,"DAF Truck (7.5 Ton) Model LF45.150, 4X2 Traction, 2014",23732.6,"October 2025"
2374,8704.22.90,SE,DAF,Truck,2015,8201,"DAF Truck (7.5 Ton) Model LF45.150, 4X2 Traction, 2015",27292.49,"October 2025"
2375,8704.22.90,SE,DAF,Truck,2016,8201,"DAF Truck (7.5 Ton) Model LF45.150, 4X2 Traction, 2016",31386.36,"October 2025"
2376,8704.22.90,SE,DAF,Truck,2014,12902,"DAF Truck (8 Ton) Model FX 410, 10 Ton, 6X2 Traction, 2014",24512.32,"October 2025"
2377,8704.22.90,SE,DAF,Truck,2015,12902,"DAF Truck (8 Ton) Model FX 410, 10 Ton, 6X2 Traction, 2015",26412.78,"October 2025"
2378,8704.22.90,SE,DAF,Truck,2012,6693,"DAF Truck, (DIESEL) Model L2EN3, 2012",11061.04,"October 2025"
2379,8704.22.90,SE,DAF,Truck,2013,6693,"DAF Truck, (DIESEL) Model L2EN3, 2013",12290.04,"October 2025"
2380,8704.22.90,SE,DAF,Truck,2014,6693,"DAF Truck, (DIESEL) Model L2EN3, 2014",13764.85,"October 2025"
2381,8701.20.90,SE,DAF,XF,2014,12902,"DAF XF 410 tractor unit, 6 X 2 traction 2014",19248.16,"October 2025"
2382,8701.20.90,SE,DAF,XF75,2000,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2000",8767.21,"October 2025"
2383,8701.20.90,SE,DAF,XF75,2001,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2001",8959.94,"October 2025"
2384,8701.20.90,SE,DAF,XF75,2002,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2002",10329.18,"October 2025"
2385,8701.20.90,SE,DAF,XF75,2003,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2003",10754.02,"October 2025"
2386,8701.20.90,SE,DAF,XF75,2004,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2004",11992.33,"October 2025"
2387,8701.20.90,SE,DAF,XF75,2005,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2005",13234.93,"October 2025"
2388,8701.20.90,SE,DAF,XF75,2006,12580,"DAF XF75 Dumper, 8 x 4 Traction, 2006",14777.8,"October 2025"
2389,8701.20.90,SE,DAF,XF95,1999,12600,"DAF XF95 Tractor Unit, 4 x 2 Traction, 1999",7136.32,"October 2025"
2390,8701.20.90,SE,DAF,XF95,2000,12600,"DAF XF95 Tractor Unit, 4 x 2 Traction, 2000",7600.64,"October 2025"
2391,8701.20.90,SE,DAF,XF95,2001,12600,"DAF XF95 Tractor Unit, 4 x 2 Traction, 2001",8296.83,"October 2025"
2392,8701.20.90,SE,DAF,XF95,2002,12600,"DAF XF95 Tractor Unit, 4 x 2 Traction, 2002",11839.41,"October 2025"
2393,8701.20.90,SE,DAF,XF95,2003,12600,"DAF XF95 Tractor Unit, 4 x 2 Traction, 2003",13118.49,"October 2025"
2394,8701.20.90,SE,DAF,XF95,2004,12600,"DAF XF95 Tractor Unit, 4 x 2 Traction, 2004",14325.66,"October 2025"
2395,8701.20.90,SE,DAF,XF95,1999,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 1999",7791.54,"October 2025"
2396,8701.20.90,SE,DAF,XF95,2000,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 2000",8596.24,"October 2025"
2397,8701.20.90,SE,DAF,XF95,2001,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 2001",10023.74,"October 2025"
2398,8701.20.90,SE,DAF,XF95,2002,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 2002",12520.65,"October 2025"
2399,8701.20.90,SE,DAF,XF95,2003,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 2003",14750.81,"October 2025"
2400,8701.20.90,SE,DAF,XF95,2004,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 2004",17298.32,"October 2025"
2401,8701.20.90,SE,DAF,XF95,2005,12600,"DAF XF95 Tractor Unit, 6 x 2 Traction, 2005",19028.16,"October 2025"
2402,8701.20.90,SE,DAF,XLRA,2001,6692,"DAF XLRA Truck (20 Ton), 2001",9759.16,"October 2025"
2403,8701.20.90,SE,DAF,XLRA,2002,6692,"DAF XLRA Truck (20 Ton), 2002",10187.03,"October 2025"
2404,8701.20.90,SE,DAF,XLRA,2003,6692,"DAF XLRA Truck (20 Ton), 2003",11005.61,"October 2025"
2405,8701.20.90,SE,DAF,XLRA,2004,6692,"DAF XLRA Truck (20 Ton), 2004",12031.76,"October 2025"
2406,8701.20.90,SE,DAF,XLRA,2005,6692,"DAF XLRA Truck (20 Ton), 2005",12741.43,"October 2025"
2407,8701.20.90,SE,DAF,XLRA,2006,6692,"DAF XLRA Truck (20 Ton), 2006",12843.42,"October 2025"
2408,8701.20.90,SE,DAF,XLRA,2007,6692,"DAF XLRA Truck (20 Ton), 2007",14160.77,"October 2025"
2409,8701.20.90,SE,DAF,XLRA,2008,6692,"DAF XLRA Truck (20 Ton), 2008",14612.28,"October 2025"
2410,8701.20.90,SE,DAF,XLRAS75,2001,9200,"DAF XLRAS75 Truck (10 Ton), 2001",10247.12,"October 2025"
2411,8701.20.90,SE,DAF,XLRAS75,2002,9200,"DAF XLRAS75 Truck (10 Ton), 2002",10696.38,"October 2025"
2412,8701.20.90,SE,DAF,XLRAS75,2003,9200,"DAF XLRAS75 Truck (10 Ton), 2003",11555.89,"October 2025"
2413,8701.20.90,SE,DAF,XLRAS75,2004,9200,"DAF XLRAS75 Truck (10 Ton), 2004",12633.35,"October 2025"
2414,8701.20.90,SE,DAF,XLRAS75,2005,9200,"DAF XLRAS75 Truck (10 Ton), 2005",13378.5,"October 2025"
2415,8701.20.90,SE,DAF,XLRAS75,2006,9200,"DAF XLRAS75 Truck (10 Ton), 2006",13485.59,"October 2025"
2416,8701.20.90,SE,DAF,XLRAS75,2007,9200,"DAF XLRAS75 Truck (10 Ton), 2007",14868.81,"October 2025"
2417,8704.22.90,SE,DAF,Crane,2000,,"DAF45.150 Crane Truck, 2000",8021.89,"October 2025"
2418,8704.22.90,SE,DAF,Crane,2001,,"DAF45.150 Crane Truck, 2001",8456.2,"October 2025"
2419,8704.22.90,SE,DAF,Crane,2002,,"DAF45.150 Crane Truck, 2002",9129.86,"October 2025"
2420,8704.22.90,SE,DAF,Crane,2003,,"DAF45.150 Crane Truck, 2003",9204.48,"October 2025"
2421,8704.22.90,SE,DAF,Crane,2004,,"DAF45.150 Crane Truck, 2004",10133.44,"October 2025"
2422,8701.20.90,SE,DAF,CF,1999,12600,"DAFCF 75 Tractor Unit, 6X2, Traction 1999,",7051.84,"October 2025"
2423,8716.39.90,GB,Unknown,Unknown,2005,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2005",11097.98,"October 2025"
2424,8716.39.90,GB,Unknown,Unknown,2006,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2006",12207.79,"October 2025"
2425,8716.39.90,GB,Unknown,Unknown,2007,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2007",13849.67,"October 2025"
2426,8716.39.90,GB,Unknown,Unknown,2008,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2008",14584.38,"October 2025"
2427,8716.39.90,GB,Unknown,Unknown,2009,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2009",16145.54,"October 2025"
2428,8716.39.90,GB,Unknown,Unknown,2010,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2010",17487.54,"October 2025"
2429,8716.39.90,GB,Unknown,Unknown,2011,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2011",18567.58,"October 2025"
2430,8716.39.90,GB,Unknown,Unknown,2012,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2012",19743.34,"October 2025"
2431,8716.39.90,GB,Unknown,Unknown,2013,,"Dagon Yildiz 3 Axle Gas Tanker trailer, 2013",20943.08,"October 2025"
2432,8429.19.00,CN,Unknown,Unknown,2016,9980,"Daifeng Crawler Mobile Power Station, Model GYD100, 2016",54687.06,"October 2025"
2433,8709.19.00,CN,Unknown,Unknown,2017,9980,"Daifeng Crawler Mobile Power Station, Model GYD100, 2017",60763.4,"October 2025"
2434,8429.59.00,CN,Unknown,Unknown,2018,9980,"Daifeng Crawler Mobile Power Station, Model GYD100, 2018",63961.47,"October 2025"
2435,8429.59.00,CN,Unknown,Unknown,2019,9980,"Daifeng Crawler Mobile Power Station, Model GYD100, 2019",76285.54,"October 2025"
2436,8429.19.00,CN,Unknown,Unknown,2016,9980,"Daifeng Crawler Pipelayer, Model DGY25G, 2016",50171.61,"October 2025"
2437,8709.19.00,CN,Unknown,Unknown,2017,9980,"Daifeng Crawler Pipelayer, Model DGY25G, 2017",55746.24,"October 2025"
2438,8429.59.00,CN,Unknown,Unknown,2018,9980,"Daifeng Crawler Pipelayer, Model DGY25G, 2018",58680.25,"October 2025"
2439,8429.59.00,CN,Unknown,Unknown,2019,9980,"Daifeng Crawler Pipelayer, Model DGY25G, 2019",69986.73,"October 2025"
2440,8703.22.90,JP,Unknown,Unknown,2010,1500,"Daihatsu Bego, model J200, (Petrol), 2010",4368.84,"October 2025"
2441,8703.22.90,JP,Unknown,Unknown,2011,1500,"Daihatsu Bego, model J200, (Petrol), 2011",4854.27,"October 2025"
2442,8703.22.90,JP,Unknown,Unknown,2012,1500,"Daihatsu Bego, model J200, (Petrol), 2012",6067.84,"October 2025"
2443,8703.22.90,JP,Unknown,Unknown,2013,1500,"Daihatsu Bego, model J200, (Petrol), 2013",7584.8,"October 2025"
2444,8703.22.90,JP,Unknown,Unknown,2014,1500,"Daihatsu Bego, model J200, (Petrol), 2014",9481.0,"October 2025"
2445,8703.22.90,JP,Unknown,Unknown,2010,1500,"Daihatsu Bego, model J210, (Petrol), 2010",5191.83,"October 2025"
2446,8703.22.90,JP,Unknown,Unknown,2010,1500,"Daihatsu Boon Luminas, Model M502G, 2010",2510.29,"October 2025"
2447,8703.22.90,JP,Unknown,Unknown,2011,1500,"Daihatsu Boon Luminas, Model M502G, 2011",2962.15,"October 2025"
2448,8703.22.90,JP,Unknown,Unknown,2009,1500,"Daihatsu Boon Luminas, Model M512G, 2009",2374.6,"October 2025"
2449,8703.22.90,JP,Unknown,Unknown,2010,1500,"Daihatsu Boon Luminas, Model M512G, 2010",2635.81,"October 2025"
2450,8703.22.90,JP,Unknown,Unknown,2010,1000,"Daihatsu Boon, model M600S, 2010",2480.08,"October 2025"
2451,8703.22.90,JP,Unknown,Unknown,2016,1000,"Daihatsu Boon, model M710S, 2016",5932.36,"October 2025"
2452,8703.21.90,JP,Unknown,Unknown,2010,1300,"Daihatsu COO, model M401S, (Petrol), 2010",2485.68,"October 2025"
2453,8703.21.90,JP,Unknown,Unknown,2011,1300,"Daihatsu COO, model M401S, (Petrol), 2011",2958.83,"October 2025"
2454,8703.21.90,JP,Unknown,Unknown,2010,1500,"Daihatsu COO, model M402S, (Petrol), 2010",2734.25,"October 2025"
2455,8703.21.90,JP,Unknown,Unknown,2011,1500,"Daihatsu COO, model M402S, (Petrol), 2011",3254.71,"October 2025"
2456,8704.21.90,JP,Unknown,Unknown,1990,2970,"Daihatsu Delta Dump Truck (2 Ton), Model V98, 1990 as below",3014.08,"October 2025"
2457,8704.21.90,JP,Unknown,Unknown,1991,2970,"Daihatsu Delta Truck (2 Ton), Model V99, 1991",3216.02,"October 2025"
2458,8704.21.90,JP,Unknown,Unknown,1992,2970,"Daihatsu Delta Truck (2 Ton), Model V99, 1992",3569.78,"October 2025"
2459,8704.21.90,JP,Unknown,Unknown,1993,2970,"Daihatsu Delta Truck (2 Ton), Model V99, 1993",3962.46,"October 2025"
2460,8704.21.90,JP,Unknown,Unknown,2004,3700,"Daihatsu Delta Truck (Diesel), model BU306, 2004",10807.78,"October 2025"
2461,8703.21.90,JP,Unknown,Unknown,2010,660,"Daihatsu Esse, (Petrol), 2010",1555.43,"October 2025"
2462,8703.21.90,JP,Unknown,Unknown,2011,660,"Daihatsu Esse, (Petrol), 2011",1606.52,"October 2025"
2463,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet Truck, model S500P, (Diesel), 2014",3588.25,"October 2025"
2464,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet Truck, model S500P, (Petrol), 2014",3185.45,"October 2025"
2465,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Hijet Truck, model S500P, (Petrol), 2015",3747.23,"October 2025"
2466,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Hijet Truck, model S500P, (Petrol), 2015",3972.06,"October 2025"
2467,8703.21.90,JP,Unknown,Unknown,2016,650,"Daihatsu Hijet Truck, model S500P, (Petrol), 2016",4045.09,"October 2025"
2468,8703.21.90,JP,Unknown,Unknown,2016,650,"Daihatsu Hijet Truck, model S500P, (Petrol), 2016",4287.8,"October 2025"
2469,8703.21.90,JP,Unknown,Unknown,2020,650,"Daihatsu Hijet Truck, model S500P, (Petrol), 2020",5347.6,"October 2025"
2470,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2013",3943.15,"October 2025"
2471,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2014",4150.68,"October 2025"
2472,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2015",4369.14,"October 2025"
2473,8703.21.90,JP,Unknown,Unknown,2016,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2016",4599.09,"October 2025"
2474,8703.21.90,JP,Unknown,Unknown,2017,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2017",4841.15,"October 2025"
2475,8703.21.90,JP,Unknown,Unknown,2018,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2018",5095.95,"October 2025"
2476,8703.21.90,JP,Unknown,Unknown,2019,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2019",5662.16,"October 2025"
2477,8703.21.90,JP,Unknown,Unknown,2020,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2020",6291.29,"October 2025"
2478,8703.21.90,JP,Unknown,Unknown,2021,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2021",6990.32,"October 2025"
2479,8703.21.90,JP,Unknown,Unknown,2022,650,"Daihatsu Hijet Truck, model S510P, (Petrol), 2022",7767.03,"October 2025"
2480,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Hijet, model S201C, (Petrol), 2010",2901.63,"October 2025"
2481,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Hijet, model S201C, (Petrol), 2011",3224.03,"October 2025"
2482,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Hijet, model S201C, (Petrol), 2012",3393.72,"October 2025"
2483,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet, model S201C, (Petrol), 2013",3767.03,"October 2025"
2484,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Hijet, model S201P, (Petrol), 2010",3125.34,"October 2025"
2485,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Hijet, model S201P, (Petrol), 2011",3289.83,"October 2025"
2486,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Hijet, model S201P, (Petrol), 2012",3462.98,"October 2025"
2487,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet, model S201P, (Petrol), 2013",3843.91,"October 2025"
2488,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet, model S201P, (Petrol), 2014",4270.58,"October 2025"
2489,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Hijet, model S210P, (Petrol), 2010",3092.81,"October 2025"
2490,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Hijet, model S210P, (Petrol), 2011",3417.1,"October 2025"
2491,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Hijet, model S210P, (Petrol), 2012",3608.79,"October 2025"
2492,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet, model S210P, (Petrol), 2013",3813.74,"October 2025"
2493,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Hijet, Model S211C, (Petrol), 2012",3535.88,"October 2025"
2494,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet, Model S211C, (Petrol), 2013",3736.69,"October 2025"
2495,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet, Model S211C, (Petrol), 2014",4110.36,"October 2025"
2496,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Hijet, model S211P, (Petrol), 2010",3124.05,"October 2025"
2497,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Hijet, model S211P, (Petrol), 2011",3451.62,"October 2025"
2498,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Hijet, model S211P, (Petrol), 2012",3645.24,"October 2025"
2499,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet, model S211P, (Petrol), 2013",3852.26,"October 2025"
2500,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet, model S211P, (Petrol), 2014",4237.49,"October 2025"
2501,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Hijet, model S211P, (Petrol), 2015",4661.23,"October 2025"
2502,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Hijet, Model S321V, (Petrol), 2010",3139.67,"October 2025"
2503,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Hijet, Model S321V, (Petrol), 2011",3280.96,"October 2025"
2504,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Hijet, Model S321V, (Petrol), 2012",3609.06,"October 2025"
2505,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Hijet, Model S321V, (Petrol), 2013",3969.96,"October 2025"
2506,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Hijet, Model S321V, (Petrol), 2014",4366.96,"October 2025"
2507,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Hijet, Model S321V, (Petrol), 2015",4803.65,"October 2025"
2508,8703.21.90,JP,Unknown,Unknown,2016,650,"Daihatsu Hijet, Model S321V, (Petrol), 2016",5321.26,"October 2025"
2509,8703.21.90,JP,Unknown,Unknown,2010,660,"Daihatsu Hijet, model S331V, (Petrol), 2010",3124.05,"October 2025"
2510,8703.21.90,JP,Unknown,Unknown,2011,660,"Daihatsu Hijet, model S331V, (Petrol), 2011",3451.62,"October 2025"
2511,8703.21.90,JP,Unknown,Unknown,2012,660,"Daihatsu Hijet, model S331V, (Petrol), 2012",3796.78,"October 2025"
2512,8703.21.90,JP,Unknown,Unknown,2013,660,"Daihatsu Hijet, model S331V, (Petrol), 2013",4252.4,"October 2025"
2513,8703.21.90,JP,Unknown,Unknown,2014,660,"Daihatsu Hijet, model S331V, (Petrol), 2014",4805.21,"October 2025"
2514,8703.21.90,JP,Unknown,Unknown,2015,660,"Daihatsu Hijet, model S331V, (Petrol), 2015",5525.99,"October 2025"
2515,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Mira Cocoa, model L675S, (Petrol), 2010",2818.88,"October 2025"
2516,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Mira Cocoa, model L675S, (Petrol), 2011",2911.47,"October 2025"
2517,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Mira Cocoa, model L675S, (Petrol), 2012",2951.44,"October 2025"
2518,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Mira Cocoa, model L675S, (Petrol), 2013",3081.51,"October 2025"
2519,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Mira, model L275S, (Petrol), 2010",2736.78,"October 2025"
2520,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Mira, model L275S, (Petrol), 2011",2826.67,"October 2025"
2521,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Mira, model L275S, (Petrol), 2012",2865.48,"October 2025"
2522,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Mira, model L275S, (Petrol), 2013",2991.76,"October 2025"
2523,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Mira, model L275S, (Petrol), 2014",3179.75,"October 2025"
2524,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Mira, Model L275V, (Petrol), 2010",2357.23,"October 2025"
2525,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Mira, Model L275V, (Petrol), 2011",2405.34,"October 2025"
2526,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Mira, Model L275V, (Petrol), 2012",2454.43,"October 2025"
2527,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Mira, Model L275V, (Petrol), 2013",2529.82,"October 2025"
2528,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Mira, Model L275V, (Petrol), 2014",3211.55,"October 2025"
2529,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Mira, Model L275V, (Petrol), 2015",3693.28,"October 2025"
2530,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Mira, model L275W, (Petrol), 2010",2764.15,"October 2025"
2531,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Mira, model L275W, (Petrol), 2011",2854.94,"October 2025"
2532,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Mira, model L275W, (Petrol), 2012",2894.13,"October 2025"
2533,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Mira, model L275W, (Petrol), 2013",3021.68,"October 2025"
2534,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Mira, model L275W, (Petrol), 2014",3211.55,"October 2025"
2535,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Mira, model L285S, (Petrol), 2010",2764.15,"October 2025"
2536,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Mira, model L285S, (Petrol), 2011",2854.94,"October 2025"
2537,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Mira, model L285S, (Petrol), 2012",2894.13,"October 2025"
2538,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Mira, model L285S, (Petrol), 2013",3021.68,"October 2025"
2539,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Mira, model L285S, (Petrol), 2014",3211.55,"October 2025"
2540,8703.21.90,JP,Unknown,Unknown,2010,660,"Daihatsu Mira, model L700S, (Petrol), 2010",2379.81,"October 2025"
2541,8703.21.90,JP,Unknown,Unknown,2011,660,"Daihatsu Mira, model L700S, (Petrol), 2011",2457.98,"October 2025"
2542,8703.21.90,JP,Unknown,Unknown,2012,660,"Daihatsu Mira, model L700S, (Petrol), 2012",2491.72,"October 2025"
2543,8703.21.90,JP,Unknown,Unknown,2013,660,"Daihatsu Mira, model L700S, (Petrol), 2013",2601.53,"October 2025"
2544,8703.21.90,JP,Unknown,Unknown,2014,660,"Daihatsu Mira, model L700S, (Petrol), 2014",2765.0,"October 2025"
2545,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Mira, Model LA300S, (Petrol), 2010",2791.79,"October 2025"
2546,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Mira, Model LA300S, (Petrol), 2011",2912.04,"October 2025"
2547,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Mira, Model LA300S, (Petrol), 2012",3009.9,"October 2025"
2548,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Mira, Model LA310S, (Petrol), 2015",5056.63,"October 2025"
2549,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Move, Model L175S (Petrol), 2010",2936.7,"October 2025"
2550,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Move, Model L175S (Petrol), 2011",3230.36,"October 2025"
2551,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Move, Model L175S (Petrol), 2012",3553.4,"October 2025"
2552,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Move, Model LA100S (Petrol), 2010",2014.36,"October 2025"
2553,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Move, Model LA100S (Petrol), 2011",2214.78,"October 2025"
2554,8703.21.90,JP,Unknown,Unknown,2012,650,"Daihatsu Move, Model LA100S (Petrol), 2012",2507.57,"October 2025"
2555,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Move, Model LA100S (Petrol), 2013",2808.48,"October 2025"
2556,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Move, Model LA100S (Petrol), 2014",3266.93,"October 2025"
2557,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Move, Model LA150S (Petrol), 2013",2934.14,"October 2025"
2558,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Move, Model LA150S (Petrol), 2014",3322.03,"October 2025"
2559,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Move, Model LA150S (Petrol), 2015",3720.68,"October 2025"
2560,8703.21.90,JP,Unknown,Unknown,2016,650,"Daihatsu Move, Model LA150S (Petrol), 2016",4328.02,"October 2025"
2561,8703.21.90,JP,Unknown,Unknown,2013,650,"Daihatsu Move, Model LA160S (Petrol), 2013",3189.28,"October 2025"
2562,8703.21.90,JP,Unknown,Unknown,2014,650,"Daihatsu Move, Model LA160S (Petrol), 2014",3610.91,"October 2025"
2563,8703.21.90,JP,Unknown,Unknown,2015,650,"Daihatsu Move, Model LA160S (Petrol), 2015",4044.22,"October 2025"
2564,8703.21.90,JP,Unknown,Unknown,2016,650,"Daihatsu Move, Model LA160S (Petrol), 2016",4704.37,"October 2025"
2565,8703.21.90,JP,Unknown,Unknown,2010,650,"Daihatsu Tanto, Model L375S, (Petrol), 2010",3260.57,"October 2025"
2566,8703.21.90,JP,Unknown,Unknown,2011,650,"Daihatsu Tanto, Model L375S, (Petrol), 2011",3619.23,"October 2025"
2567,8703.22.90,JP,Unknown,Unknown,2010,660,"Daihatsu Terios Kid, model J111G,4WD (Petrol), 2010",3068.42,"October 2025"
2568,8703.22.90,JP,Unknown,Unknown,2011,650,"Daihatsu Terios Kid, model J111G,4WD (Petrol), 2011",3313.89,"October 2025"
2569,8716.39.90,ZA,Unknown,Unknown,2022,,"Danmar 1 Axle trailer, Model Bulldog 1, 2022",4145.54,"October 2025"
2597,8429.19.00,BE,Deutz,Agricultural,1990,2800,"Deutz Agricultural Tractor, Model D40, 1990 and below",4854.23,"October 2025"
2603,8703.23.90,US,Dodge,Calliber,2010,1700,"Dodge Calliber, 2010",7173.79,"October 2025"
2604,8703.23.90,US,Dodge,Calliber,2010,2000,"Dodge Calliber, 2010",7891.17,"October 2025"
2605,8703.23.90,US,Dodge,Calliber,2011,1700,"Dodge Calliber, 2011",8481.25,"October 2025"
2606,8703.23.90,US,Dodge,Calliber,2011,2000,"Dodge Calliber, 2011",9329.37,"October 2025"
2607,8704.21.90,US,Dodge,Caravan,2010,3300,"Dodge Caravan YG 5124, 2010",5378.56,"October 2025"
2608,8704.21.90,US,Dodge,Caravan,2011,3300,"Dodge Caravan YG 5124, 2011",6194.47,"October 2025"
